time,observation,MIROC-MIROC5_CLMcom-CCLM4-8-17,MIROC-MIROC5_GERICS-REMO2015
1959-10-01,NA,5.07895225309767,3.84474849561229
1959-11-01,NA,10.4598919046111,1.28794033516897
1959-12-01,NA,7.19192154938355,5.71139560779557
1960-01-01,NA,2.61478241882287,3.18973985267803
1960-02-01,NA,1.73972995835356,0.155520799899023
1960-03-01,NA,4.20529679395258,2.53367878322024
1960-04-01,NA,4.60761038702913,4.52919584931806
1960-05-01,NA,7.80008216388524,9.45685878396034
1960-06-01,NA,9.41290219780058,9.56562717910856
1960-07-01,NA,3.91628536744975,6.72016572207212
1960-08-01,NA,2.12068902910687,3.53328226483427
1960-09-01,NA,6.31868932396173,4.67924894182943
1960-10-01,NA,10.4341703583486,6.35140452068299
1960-11-01,NA,5.43168432195671,4.92126225144602
1960-12-01,NA,3.52217210456729,3.09025163878687
1961-01-01,NA,2.26119861763436,0.60827094130218
